"id","title","icon96x96","src","_blank","appid","cat"
"CF10","Productos y servicios","/$/prodserv/img/icons/productos-96x96.png","/!/prodserv/productos/","0","prodserv.productos","0090"
"CF20","Líneas de productos","/$/prodserv/img/icons/linea-96x96.png","/!/prodserv/linea/","0","prodserv.linea","0090"
